Age,Gender,Education Level,Marital Status,Income,Credit Score,Loan Amount,Loan Purpose,Employment Status,Years at Current Job,Payment History,Debt-to-Income Ratio,Assets Value,Number of Dependents,Previous Defaults,Marital Status Change,Risk Rating
49,Male,PhD,Divorced,72799.0,688.0,45713.0,Business,Unemployed,19,Poor,0.1543132963127006,120228.0,0.0,2.0,2,Low
57,Female,Bachelor's,Widowed,,690.0,33835.0,Auto,Employed,6,Fair,0.1489196432247159,55849.0,0.0,3.0,2,Medium
21,Non-binary,Master's,Single,55687.0,600.0,36623.0,Home,Employed,8,Fair,0.3623980173254608,180700.0,3.0,3.0,2,Medium
59,Male,Bachelor's,Single,26508.0,622.0,26541.0,Personal,Unemployed,2,Excellent,0.4549643807337948,157319.0,3.0,4.0,2,Medium
25,Non-binary,Bachelor's,Widowed,49427.0,766.0,36528.0,Personal,Unemployed,10,Fair,0.1432424240204613,287140.0,,3.0,1,Low
30,Non-binary,PhD,Divorced,,717.0,15613.0,Business,Unemployed,5,Fair,0.2959844500430854,,4.0,3.0,1,Medium
31,Non-binary,Master's,Widowed,45280.0,672.0,6553.0,Personal,Self-employed,1,Good,0.3788899374153178,,,0.0,1,Low
18,Male,Bachelor's,Widowed,93678.0,,,Business,Unemployed,10,Poor,0.3966357236164678,246597.0,1.0,1.0,1,Low
32,Non-binary,Bachelor's,Widowed,20205.0,710.0,,Auto,Unemployed,4,Fair,0.335964977578598,227599.0,0.0,4.0,2,Low
55,Male,Bachelor's,Married,32190.0,600.0,29918.0,Personal,Self-employed,5,Excellent,0.4843333045593678,130507.0,4.0,,2,Low
42,Non-binary,Master's,Single,116212.0,707.0,24771.0,Home,Employed,11,Excellent,0.1141337475982952,212198.0,3.0,0.0,2,Medium
37,Non-binary,Master's,Divorced,78855.0,718.0,,Home,Self-employed,17,Poor,0.19392128861142,272522.0,,3.0,2,Low
60,Female,PhD,Divorced,,686.0,15497.0,Personal,Self-employed,18,Poor,0.3281747074225278,47603.0,4.0,2.0,2,High
68,Male,High School,Divorced,79454.0,688.0,43365.0,Personal,Self-employed,15,Good,0.3292815438503654,61967.0,,3.0,0,Medium
29,Male,High School,Divorced,119510.0,,5013.0,Auto,Employed,17,Poor,0.499721861193341,50568.0,,2.0,2,Medium
68,Female,PhD,Divorced,,,42951.0,Auto,Self-employed,6,Fair,0.5507459353458977,67070.0,4.0,2.0,2,Low
55,Male,High School,Married,70978.0,706.0,36970.0,Personal,Unemployed,19,Excellent,0.2669409092504,54041.0,3.0,1.0,0,Medium
18,Female,Master's,Widowed,102628.0,654.0,25442.0,Home,Unemployed,8,Poor,0.1618325788225118,,3.0,1.0,2,Medium
60,Non-binary,Bachelor's,Divorced,,738.0,37001.0,Business,Employed,7,Fair,0.3389709731866936,53055.0,,1.0,2,Low
56,Non-binary,PhD,Married,21084.0,702.0,22039.0,Personal,Employed,19,Fair,0.2310463740003128,226053.0,2.0,0.0,2,Medium
26,Female,PhD,Divorced,51460.0,,29970.0,Business,Unemployed,19,Excellent,0.4302325876005904,252797.0,1.0,3.0,0,Medium
22,Non-binary,PhD,Widowed,100169.0,796.0,,Home,Employed,15,Poor,0.174743185231767,259802.0,3.0,2.0,0,Medium
